,Consulta 1,Consulta 2,Documento
0,0,1,1-s2.0-S0040162516000500-main.pdf
1,0,1,1-s2.0-S0268401214001066-main.pdf
2,0,1,1-s2.0-S1532046413001007-main.pdf
3,0,1,1-s2.0-S1877050915005220-main.pdf
4,0,1,1-s2.0-S2212827114000857-main.pdf
5,0,1,10.1.1.452.9557.pdf
6,0,1,10334-ar-promise-peril-of-big-data.pdf
7,0,1,11606_2013_Article_2455.pdf
8,0,1,2196-1115-1-2.pdf
9,0,1,2_The_New_York_Times_on_The_Age_of_Big_D.pdf
10,0,1,4892a995.pdf
11,0,1,A Big Data Analytical Framework for Sports Behavior Mining and Personalized Health Services.pdf
12,0,1,A big data analytics framework for forecasting rare customer complaints A use case of predicting MA members- complaints to CMS.pdf
13,0,1,A big data framework for spacecraft prognostics and health monitoring.pdf
14,0,1,A comparitive study on traditonal healthcare system and present healthcare system using cloud computing and big data.pdf
15,0,1,A Data Capturing Platform in the Cloud for Behavioral Analysis among Smokers An Application Platform for Public Health Research.pdf
16,0,1,A dynamic approach to medical data for smart Indian healthcare.pdf
17,0,1,A framework for smart transportation using Big Data.pdf
18,0,1,A guideline to determine the training sample size when applying big data mining methods in clinical decision making.pdf
19,0,1,A Novel Big Data Modeling Method for Improving Driving Range Estimation of EVs.pdf
20,0,1,A novel big-data processing framwork for healthcare applications Big-data-healthcare-in-a-box.pdf
21,0,1,A novel technique of motif discovery for medical big data using hadoop.pdf
22,0,1,A personalized recommendation engine for prediction of disorders using big data analytics.pdf
23,0,1,A robust software architecture based on distributed systems in big data healthcare.pdf
24,0,1,A tracking system for monitoring in health of various workers are working in different working environment BDA application.pdf
25,0,1,Aircraft Health Management Based on Big Data Flow and Fault Rules Network.pdf
26,0,1,Algorithms for Big Data Delivery over the Internet of Things.pdf
27,0,1,Analysis and visualization of health data from the CAB dataset.pdf
28,0,1,Application of Analytics to Big Data in Healthcare.pdf
29,0,1,Application of Dendrobium Compound Preparation in the Health Environment of Big Data Smart City.pdf
30,0,1,Article 1134 _ (www.downloadnema.com).pdf
31,0,1,Article 1144 _ (www.downloadnema.com).pdf
32,0,1,Aviation PHM system research framework based on PHM big data center.pdf
33,0,1,Big data analysis for heart disease detection system using map reduce technique.pdf
34,0,1,Big data analytics for health systems.pdf
35,0,1,Big Data Analytics Framework for System Health Monitoring.pdf
36,0,1,Big data analytics of IoT based Health care monitoring system.pdf
37,0,1,Big data application for analysis of flight test data.pdf
38,0,1,Big data application in functional magnetic resonance imaging using apache spark.pdf
39,0,1,Big Data as an e-Health Service.pdf
40,0,1,Big data driven healthcare services and wearables.pdf
41,0,1,Big data for institutional planning- decision support and academic excellence.pdf
42,0,1,Big Data in Biomedicine.pdf
43,0,1,Big data in health care A mobile based solution.pdf
44,0,1,big data JAMA 2013.pdf
45,0,1,Big data platform for public health policies.pdf
46,0,1,Big Data Security and Privacy Issues in Healthcare.pdf
47,0,1,Big Data service engine -BISE- Integration of Big Data technologies for human centric wellness data.pdf
48,0,1,Big data stream computing in healthcare real-time analytics.pdf
49,0,1,Big Data- Big Knowledge Big Data for Personalized Healthcare.pdf
50,0,1,Big social data analytics for public health Comparative methods study and performance indicators of health care content on Facebook.pdf
51,0,1,Big social data analytics for public health Facebook engagement and performance.pdf
52,0,1,Big-Data Based Decision-Support Systems to Improve Clinicians- Cognition.pdf
53,0,1,Big-data-analytics--Understanding-its-capabilities_2018_Technological-Foreca.pdf
54,0,1,big-data-in-healthcare_B_Kaplan_2012.pdf
55,0,1,Big-Data-technologies--_2017_Journal-of-King-Saud-University---Computer-and-.pdf
56,0,1,big.2012.0002.pdf
57,0,1,Bigdatasecurityandprivacyissuesinhealthcare.pdf
58,0,1,BigDataSurvey2014.pdf
59,0,1,Big_data_for_Health.pdf
60,0,1,Big_Data_Revolution.pdf
61,0,1,bii.s31559.pdf
62,0,1,Biomedical Big Data for Clinical Research and Patient Care Role of Semantic Computing.pdf
63,0,1,Broad big data domain via medical big data.pdf
64,0,1,Building a cloud-based platform for personal health sensor data management.pdf
65,0,1,Building platform application big sensor data for e-health wireless body area network.pdf
66,0,1,Business model canvas perspective on big data applications.pdf
67,0,1,Challenges and Opportunities of Big Data in Health Care_ A Systematic Review.pdf
68,0,1,Characteristics and classification of big data in health care sector.pdf
69,0,1,Connected health Opportunities and challenges.pdf
70,0,1,Correlation Analysis Between Vehicular Traffic and PM Using Sensor Big Data.pdf
71,0,1,Critical-analysis-of-Big-Data-challenges-and-anal_2017_Journal-of-Business-R.pdf
72,0,1,d3c3d02f3493097be0d0f190bdc322c7519b.pdf
73,0,1,Data Mining and Management System Design and Application for College Student Mental Health.pdf
74,0,1,Data--DIKW--Big-Data-and-Data-Science_2014_Procedia-Computer-Science.pdf
75,0,1,Debating-big-data--A-literature-review-on-re_2017_The-Journal-of-Strategic-I.pdf
76,0,1,Design of a health-data model and a query-driven implementation in Cassandra.pdf
77,0,1,Discovering Environmental Impacts on Public Health Using Heterogeneous Big Sensory Data.pdf
78,0,1,E2-2013.04-The-big-data-revolution-in-US-health-care-Accelerating-value-and-innovation.pdf
79,0,1,Effective implementation of data segregation -amp- extraction using big data in E - health insurance as a service.pdf
80,0,1,Efficient privacy preservation technique for healthcare records using big data.pdf
81,0,1,Evaluation of data quality of multisite electronic health record data for secondary analysis.pdf
82,0,1,Exploitation of -Big Data- The experience feedback of the french military health service on sanitary data.pdf
83,0,1,Extended definition of medical big data.pdf
84,0,1,Facebook and public health A study to understand facebook post performance with organizations- strategy.pdf
85,0,1,Fihuo A Moblie Smart Health Service Platform.pdf
86,0,1,Framework for the identification of fraudulent health insurance claims using association rule mining.pdf
87,0,1,From Big Data to Big Knowledge The art of making Big Data alive.pdf
88,0,1,From stars to patients Lessons from space science and astrophysics for health care informatics.pdf
89,0,1,Genetic deep neural networks using different activation functions for financial data mining.pdf
90,0,1,Geospatial health context table.pdf
91,0,1,H-DRIVE A Big Health Data Analytics Platform for Evidence-Informed Decision Making.pdf
92,0,1,Harnessing the potential of big data in Romanian healthcare.pdf
93,0,1,Health information exchange in the wake of -big data- paradigm - The theme is from -quality of information to quality of life-.pdf
94,0,1,hir-19-79.pdf
95,0,1,hir-22-156.pdf
96,0,1,hlthaff.2014.0041.pdf
97,0,1,hlthaff.2014.0053.pdf
98,0,1,hlthaff.2014.0147.pdf
99,0,1,hlthaff.2014.0771.pdf
100,0,1,Holistic disaster recovery approach for big data NoSQL workloads.pdf
101,0,1,Holistic perspective of big data in healthcare.pdf
102,0,1,Implementing Big Data analytics to predict Systemic Lupus Erythematosus.pdf
103,0,1,Importance of data mining in healthcare A survey.pdf
104,0,1,Increasing big data front end processing efficiency via locality sensitive Bloom filter for elderly healthcare.pdf
105,0,1,Information accountability and Health Big Data Analytics A consent-based model.pdf
106,0,1,Innovation in big data analytics Applications of mathematical programming in medicine and healthcare.pdf
107,0,1,Insight of big data analytics in healthcare industry.pdf
108,0,1,isre.2014.0546.pdf
109,0,1,Iterative unified clustering in big data.pdf
110,0,1,journal.pcbi.1003904.PDF
111,0,1,M-SEQ Early detection of anxiety and depression via temporal orders of diagnoses in electronic health data.pdf
112,0,1,Meeting Technology and Methodology into Health Big Data Analytics Scenarios.pdf
113,0,1,Mining Human Activity Patterns From Smart Home Big Data for Health Care Applications.pdf
114,0,1,Model-driven visual analytics for big data.pdf
115,0,1,MONET-SmartClothing-2016.pdf
116,0,1,nihms743582.pdf
117,0,1,nihms821556.pdf
118,0,1,pap JBHI BigData in VPH revision v2.pdf
119,0,1,Predicting the risk of diabetes in big data electronic health Records by using scalable random forest classification algorithm.pdf
120,0,1,Predicting Transportation Carbon Emission with Urban Big Data.pdf
121,0,1,Protecting the location privacy of mobile social media users.pdf
122,0,1,Research on Application of Healthcare Data in Big Data Era.pdf
123,0,1,Research on mining global maximal frequent itemsets for health big data.pdf
124,0,1,Resource-management-in-big-data-initiatives--Process_2017_Journal-of-Busines.pdf
125,0,1,Review of big data tools for healthcare system with case study on patient database storage methodology.pdf
126,0,1,Rise of Big Data and related issues.pdf
127,0,1,Role -amp- impact of big data in ehealth -amp- telemedicine A survey.pdf
128,0,1,s13073-016-0323-y.pdf
129,0,1,Security in big data of medical records.pdf
130,0,1,Selected aspects of electronic health record analysis from the big data perspective.pdf
131,0,1,SMEManufacturingLettersPredictiveMfgSystems2013.pdf
132,0,1,SOA-FOG Secure service-oriented edge computing architecture for smart health big data analytics.pdf
133,0,1,Spatial big data analytics of influenza epidemic in Vellore- India.pdf
134,0,1,SPECIAL_ISSUE_BUSINESS_INTELLIGENCE_RESE.pdf
135,0,1,The Industry Data Analysis Processing Model Design The Regional Health Disease Trend Analysis Model.pdf
136,0,1,The Parable of Google Flu (WP-Final).pdf
137,0,1,The research of the human physiological signs data monitoring system based on big data.pdf
138,0,1,The Role of Big Data in Creating Sense EHR- an Integrated Approach to Create Next Generation Mobile Sensor and Wearable Data Driven Electronic Health Record -EHR-.pdf
139,0,1,Thriving the ills of elderly people using big data analytics.pdf
140,0,1,Towards a technology roadmap for big data applications in the healthcare domain.pdf
141,0,1,Trends in big data analytics.pdf
142,0,1,Trustworthy Processing of Healthcare Big Data in Hybrid Clouds.pdf
143,0,1,Utilizing Big Data Analysis for Diseases Prevention and Control During Hajj.pdf
144,0,1,V2I241.pdf
145,0,1,Validity of association rules extracted by healthcare-data-mining.pdf
146,0,1,Visualization of multidimensional clinical data from wearables on the web and on apps.pdf
147,0,1,What Can Big Data Tell Us About Health- Finding Gold Through Data Mining.pdf
148,0,1,WISH_BigData_Report.pdf
149,0,1,X-Ray image reliability using biorthogonal wavelet compression for medical big data.pdf
150,1,0,0110053.pdf
151,1,0,0205070.pdf
152,1,0,04787647.pdf
153,1,0,05504793.pdf
154,1,0,10.1.1.145.2762.pdf
155,1,0,10.1.1.146.1515.pdf
156,1,0,10.1.1.24.5565.pdf
157,1,0,10.1.1.34.4718.pdf
158,1,0,10.1.1.60.3991.pdf
159,1,0,101ae0b68d2cdda4d54e15f6db214fac.pdf
160,1,0,10994_2005_Article_422926.pdf
161,1,0,117693510600200030.pdf
162,1,0,148-208-1-PB.pdf
163,1,0,18S241.pdf
164,1,0,3150-map-reduce-for-machine-learning-on-multicore.pdf
165,1,0,5A.pdf
166,1,0,9780387310732_TOC.pdf
167,1,0,A Algorithm to Incremental Learning with Support Vector Machine and Its Application in Multi-class Classification.pdf
168,1,0,A Comparison of Linear Support Vector Machine Algorithms on Large Non-Sparse Datasets.pdf
169,1,0,A Digital Liquid State Machine With Biologically Inspired Learning and Its Application to Speech Recognition.pdf
170,1,0,A Dynamic Integrated Model in Machine Learning and Its Application.pdf
171,1,0,A Machine Learning Based WSN System for Autism Activity Recognition.pdf
172,1,0,A Machine Learning Tool for Supporting Advanced Knowledge Discovery from Chess Game Data.pdf
173,1,0,A machine-learning-based fault diagnosis approach for intelligent condition monitoring.pdf
174,1,0,A New Machine Double-Layer Learning Method and Its Application in Non-Linear Time Series Forecasting.pdf
175,1,0,A Survey of Machine Learning Applications for Energy-Efficient Resource Management in Cloud Computing Environments.pdf
176,1,0,A survey on active learning strategy.pdf
177,1,0,a292607.pdf
178,1,0,AAAI98-073.pdf
179,1,0,Aha1991_Article_Instance-basedLearningAlgorith.pdf
180,1,0,An application of machine learning approach to fault detection of a synchronous machine.pdf
181,1,0,An Application of Machine Learning in the Criterion Updating of Diagnosis Cancer.pdf
182,1,0,An Augmented Lagrangian Method for l2-1-Norm Minimization Problems in Machine Learning.pdf
183,1,0,An improved transfer learning algorithm for document categorization based on data sets reconstruction.pdf
184,1,0,An-Application-of-Machine-Learning-to-Network___sd51d.pdf
185,1,0,Analyzing Local Structure in Kernel-Based Learning Explanation- Complexity- and Reliability Assessment.pdf
186,1,0,Andrieu2003_Article_AnIntroductionToMCMCForMachine.pdf
187,1,0,Application of a Multilayer Perceptron Neural Network for Classifying Software Platforms of a Powered Prosthesis through a Force Plate.pdf
188,1,0,Application of DM in data safety of machine learning based on combined grey neural network.pdf
189,1,0,Application of Inductive Learning in Human Brain CT Image Recognition.pdf
190,1,0,Application of machine learning techniques to Web-based intelligent learning diagnosis system.pdf
191,1,0,Application Research of Support Vector Machine in Communication.pdf
192,1,0,Application Research of Support Vector Machine in Network Security Risk Evaluation.pdf
193,1,0,Applying Learning by Tutelage and Multimodal Interface to Sociable Robots.pdf
194,1,0,Automated nuclei detection in serous effusion cytology based on machine learning.pdf
195,1,0,automated traffic.pdf
196,1,0,Bartlett_CVPR05.pdf
197,1,0,Based on Machine Learning of Data Mining to Further Explore.pdf
198,1,0,Biased locality-sensitive support vector machine based on density for positive and unlabeled examples learning.pdf
199,1,0,Bounds on the rate of uniform convergence of learning processes with equality-expect noise samples on quasi-probability space.pdf
200,1,0,brodley-lane-nissc97_paper.pdf
201,1,0,btq112.pdf
202,1,0,CIM2010.pdf
203,1,0,Classification of hyperspectral images with multiple kernel extreme learning machine.pdf
204,1,0,Combining Rule-based and Machine Learning Approaches for Shape Recognition.pdf
205,1,0,Comparison of Classification Techniques used in Machine Learning as Applied on Vocational Guidance Data.pdf
206,1,0,Comparisons of Machine Learning Algorithms for Application Identification of Encrypted Traffic.pdf
207,1,0,Constructing Query-Driven Dynamic Machine Learning Model With Application to Protein-Ligand Binding Sites Prediction.pdf
208,1,0,Credit risk analysis with classification Restricted Boltzmann Machine.pdf
209,1,0,Deep learning application based on embedded GPU.pdf
210,1,0,Deep Neural Networks with Parallel Autoencoders for Learning Pairwise Relations Handwritten Digits Subtraction.pdf
211,1,0,Deep Transfer Learning via Restricted Boltzmann Machine for Document Classification.pdf
212,1,0,Determination of Vocational Fields with Machine Learning Algorithm.pdf
213,1,0,Development of an Ontology of Learning Strategies and its Application to Generate Open Learner Models.pdf
214,1,0,Discretization Techniques and Genetic Algorithm for Learning the Classification Method PROAFTN.pdf
215,1,0,DLCPTW2014.pdf
216,1,0,Domain Adaptation Problems A DASVM Classification Technique and a Circular Validation Strategy.pdf
217,1,0,Early Detection of At-Risk Students Using Machine Learning Based on LMS Log Data.pdf
218,1,0,Empirical results from applying machine learning techniques to planning.pdf
219,1,0,Fault Modeling of Extreme Scale Applications Using Machine Learning.pdf
220,1,0,Forecasting PM2.5 Concentration Using Spatio-Temporal Extreme Learning Machine.pdf
221,1,0,fulltext.pdf
222,1,0,Generalized SMO Algorithm for SVM-Based Multitask Learning.pdf
223,1,0,hir-22-351.pdf
224,1,0,Homology-Independent-Metrics-for-Comp_2015_Computational-and-Structural-Biot.pdf
225,1,0,Horizon Detection Using Machine Learning Techniques.pdf
226,1,0,How to steal a machine learning classifier with deep learning.pdf
227,1,0,Implement of a 6-DOF manipulator with machine vision and machine learning algorithms.pdf
228,1,0,Implementation of Machine Learning for Classifying Hemiplegic Gait Disparity through Use of a Force Plate.pdf
229,1,0,Incorporating Incremental and Active Learning for Scene Classification.pdf
230,1,0,Increasing system performance in machine learning by using multiprocessing.pdf
231,1,0,Incremental Learning for Multitask Pattern Recognition Problems.pdf
232,1,0,Introduction_to_statistical_relational_l.pdf
233,1,0,journal.pcbi.0030116.PDF
234,1,0,Knowledge-Supervised Learning by Co-clustering Based Approach.pdf
235,1,0,Kubat1998_Article_MachineLearningForTheDetection.pdf
236,1,0,Learning complex problem solving expertise from failures.pdf
237,1,0,Learning to Learn Dynamic Runtime Exploitation of Various Knowledge Sources and Machine Learning Paradigms.pdf
238,1,0,lecture13-NN-basics.pdf
239,1,0,Machine learning application for refrigeration showcase fault discrimination.pdf
240,1,0,Machine learning based network intrusion detection.pdf
241,1,0,Machine learning despite unknown classes.pdf
242,1,0,Machine learning for complex EMI prediction- optimization and localization.pdf
243,1,0,Machine Learning for Intra-Fraction Tumor Motion Modeling with Respiratory Surrogates.pdf
244,1,0,Machine Learning for Optimum CT-Prediction for qPCR.pdf
245,1,0,Machine Learning for SQL injection prevention on server-side scripting.pdf
246,1,0,Machine learning from imbalanced data sets for astronomical object classification.pdf
247,1,0,Machine Learning Techniques Applied to Sensor Data Correction in Building Technologies.pdf
248,1,0,Machine Learning Techniques for LV Wall Motion Classification Based on Spatio-temporal Profiles from Cardiac Cine MRI.pdf
249,1,0,Machine-Learning-and-Data-Mining-Method_2017_Computational-and-Structural-Bi.pdf
250,1,0,MachineLearningTR.pdf
251,1,0,Malware detection on Android smartphones using API class and machine learning.pdf
252,1,0,Mobile application review classification for the Indonesian language using machine learning approach.pdf
253,1,0,Mood Detector - On Using Machine Learning to Identify Moods and Emotions.pdf
254,1,0,Moving From Traditional Computer Engineering Learning with Toys- Virtual Machines- Embedded Systems and Ubiquitous Computing.pdf
255,1,0,Multiple Class Machine Learning Approach for an Image Auto-Annotation Problem.pdf
256,1,0,New module of text classification for IDA system.pdf
257,1,0,nihms-839467.pdf
258,1,0,nihms100405.pdf
259,1,0,On the Portability of Trained Machine Learning Classifiers for Early Application Identification.pdf
260,1,0,Online learning algorithm of direct support vector machine for regression based on Cholesky factorization.pdf
261,1,0,P2X4-receptor-eNOS-signaling-pathway-in-cardiac-_2015_Computational-and-Stru.pdf
262,1,0,Parameter Estimation for Manifold Learning- Through Density Estimation.pdf
263,1,0,pedregosa11a.pdf
264,1,0,Perceptual learning and abstraction in machine learning an application to autonomous robotics.pdf
265,1,0,Performance and Security Strength Trade-Off in Machine Learning Based Biometric Authentication Systems.pdf
266,1,0,Portable Phenotyping System A Portable Machine-Learning Approach to i2b2 Obesity Challenge.pdf
267,1,0,Predicting building contamination using machine learning.pdf
268,1,0,Prediction of shear wave velocity in shale reservoir based on logging data and machine learning.pdf
269,1,0,Privacy preserving extreme learning machine classification model for distributed systems.pdf
270,1,0,Random_ICML99.pdf
271,1,0,Recurrent Clustering for Unsupervised Feature Extraction with Application to Sequence Detection.pdf
272,1,0,Research and application of structure learning algorithm for Bayesian networks from distributed data.pdf
273,1,0,Research on Multi-View Semi-Supervised Learning Algorithm Based on Co-Learning.pdf
274,1,0,shoeb-icml-2010.pdf
275,1,0,Simple Reinforcement Learning for Small-Memory Agent.pdf
276,1,0,Spam-ham e-mail classification using machine learning methods based on bag of words technique.pdf
277,1,0,Stage-specific-control-of-stem-cell-niche-archite_2015_Computational-and-Str.pdf
278,1,0,State-of-the-Art Deep Learning Evolving Machine Intelligence Toward Tomorrow-s Intelligent Network Traffic Control Systems.pdf
279,1,0,Study on least squares support vector machines algorithm and its application.pdf
280,1,0,Study on the Application of Rough Sets Theory in Machine Learning.pdf
281,1,0,Survival Prediction in Lung Cancer Treated with Radiotherapy Bayesian Networks vs. Support Vector Machines in Handling Missing Data.pdf
282,1,0,SVMotif A Machine Learning Motif Algorithm.pdf
283,1,0,Systems-based-approaches-to-unravel-multi-sp_2015_Computational-and-Structur.pdf
284,1,0,The application of machine learning algorithm in underwriting process.pdf
285,1,0,The Application of Support Vector Machines in the Automatic Eye Position Algorithm.pdf
286,1,0,The Emotional Machine A Machine Learning Approach to Online Prediction of User-s Emotion and Intensity.pdf
287,1,0,The Influence Machine Nonnegative Instance-Space Learning with Differentiated Regularization.pdf
288,1,0,tong01a.pdf
289,1,0,Transfer learning method using multi-prediction deep Boltzmann machines for a small scale dataset.pdf
290,1,0,Tumor Targeting for Lung Cancer Radiotherapy Using Machine Learning Techniques.pdf
291,1,0,Turkish tweet sentiment analysis with word embedding and machine learning.pdf
292,1,0,Unsupervised machine learning and cognitive systems in learning user state for context-aware computing.pdf
293,1,0,uow-cs-wp-1994-09.pdf
294,1,0,uow-cs-wp-1999-11.pdf
295,1,0,User Movement Prediction The Contribution of Machine Learning Techniques.pdf
296,1,0,Using Support Vector Machines to Classify Student Attentiveness for the Development of Personalized Learning Systems.pdf
297,1,0,Using-Machine-Learning-Algorithms-for-Breast-Cancer-Ri_2016_Procedia-Compute.pdf
298,1,0,Webb2001_Article_MachineLearningForUserModeling.pdf
299,1,0,Zebrafish Larva Locomotor Activity Analysis Using Machine Learning Techniques.pdf
